id;Name;Title;Publication;Year;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Music;Composer;Music_year;Source;Notation;Music_gtitle;Comment_m;;
115;Дельвиг;Сиротинушка девушка;Подснежник, 1829, с. 153. (Дельвиг, А.А. Сочинения. Л., 1986. С. 64);1828;Русская песня;;1829;periodical;Ан2д;reg;unrhymed;core;;;;;;;;;
116;Дельвиг;Скучно девушки весною жить одной;Северные цветы на 1825 год. С. 295. (Дельвиг, А.А. Сочинения. Л., 1986. С. 64-65);1824;Русская песня;;1824;periodical;Х6м;reg;rhymed;core;;;;;;;;;
117;Дельвиг;И я выду ль на крылечко;Северные цветы на 1832 год. (Дельвиг, А.А. Сочинения. Л., 1986. С. 171-172);1828;;Незакончено;1832;periodical;Х4жм;reg;rhymed;core;melody;Бернард, М.И.;1834;И я выйду на крылечко. Песня. Сл. Барона Дельвига / Собрание российских романсов и песен с аккомпанементом фортепиано. Сочинил и посвящает Александре Павловне Невахович М. Бернард. № 13;[Для голоса с фортепиано];Песня;;;
118;Дельвиг;Как за реченькой слободушка стоит;Северные цветы на 1832 год. С. 7-8. (Дельвиг, А.А. Сочинения. Л., 1986. С. 172);1828;;;1832;periodical;Х6м;reg;rhymed;core;;;;;;;;;
119;Дельвиг;По небу тучи громовые ходят;Денница, 1830, с. 166. (Дельвиг, А.А. Сочинения. Л., 1986. С. 172-173);1829;Русская песня;;1830;collection;Д13дж;reg;unrhymed;core;;;;;;;;;
120;Дельвиг;Как у нас ли на кровельке;Северные цветы на 1830 год. С. 52. Дельвиг, А.А. Сочинения. Л., 1986. С. 182-183;1829;Русская песня;;1830;collection;Ан2д;reg;unrhymed;core;;;;;;;;;
121;Дельвиг;Я вечор в саду младешенька гуляла;ОЗ, 1839, т.1, отд. 3, с. 1. Дельвиг, А.А. Сочинения. Л., 1986. С. 186;1831;Русская песня;;1839;periodical;Х6ж + Х5ж;unreg;unrhymed;core;;;;;;;;;
122;Державин;Не на яблоньке, не наливное;Памятник отечественных муз на 1827 г. СПб., 1827. С. 134 (Грот, т. 4. с. 515-516);1803;Хор девушек из оперы Дурочка умнее умных;;1827;periodical;Пс2 + Д4м;unreg (цезурные усечения, полиметрия);rhymed;periph;;;;;;;;;
123;Ершов, П.П.;Полетай мой голубочек;БдЧ, 1835, т.8, с. 9. (Ч.1) БдЧ, 1835, т. 10, 1835, с. 11. (Ч.2);1834;Песня казачки;из “Сибирского казака”;1835;collection;Х4ж;reg;unrhymed;core;;;;;;;;;
124;Ершов, П.П.;Как во поле во широком;БдЧ, 1834, т. 7, с. 12;1834;Молодой орел;;1834;periodical;Х4жм;reg;rhymed;core;;;;;;;;;
125;Ершов, П.П.;Уж не цвесть цветку в пустыне;БдЧ, 1835, т.9,с.117;1835;Русская песня;;1835;periodical;Х4жм;reg;rhymed;core;;;;;;;;;
126;Ершов, П.П.;Вдоль по улице широкой;Осенний вечер. Спб., 1835, с. 63.;1835;Песня старика луки;из драматической повести Фома-кузнец;1835;periodical;Х4333жм + Х4 с нарушениями в рефрене;unreg;rhymed;periph;;;;;;;;;
127;Ершов, П.П.;Камень милый бирюзовый;Современник, 1837, № 3, с. 293-294.;1837;Кольцо с бирюзою;;1837;periodical;Х4жм;reg;unrhymed;core;;;;;;;;;
128;Ершов, П.П.;Рано утром под окном;П.П. Ершов, автор сказки “Конек-горбунок”...Спб., 1872.;1845;;;1872;collection;Х4ммжж;reg;rhymed;periph;;;;;;;;;
129;Жарков, А.;Уж давно то я томлюсь;Московский городской листок. 1847, № 147, 8 июля. С. 589;1847;;;1847;periodical;Х4мд;unreg(разностопный, мелодическая форма какая-то);occ;core;;;;;;;;;
130;Жмакин, В.;Я люблю бледный цвет;Жмакин, В. Часы досуга. М., 1843. С. 61-62;1843;Утрата;;1843;collection;Ан2м + Х3ж;reg;rhymed;core;;;;;;;;;
131;Жмакин, В.;Долго ль будут тучи по небу ходить;Жмакин, В. Часы досуга. М., 1843. С. 66;1843;Моя песня;(скорее сильно раньше написанные);1843;collection;Х6м;reg;rhymed;core;;;;;;;;;
132;Заангарский Сибиряк;Разломайся грудь;СО, 1837. Ч. 184. С. 141-143;1837;Песнь страдальца;Иркутск;1837;periodical;Пс;unreg (cбой);unrhymed;core;;;;;;;;;
133;Загоскин;О гой ты Днепр ты широкий Днепр;;1833;;из Аскольдовой могилы (роман);1833;collection;Х4жм;unreg;unrhymed;core;;;;;;;;;
134;Загоскин;Гой ты Днепр ли мой широкий;;1835;;из Аскольдовой могилы (опера);1835;collection;Х4жм;reg;rhymed;core;;;;;;;;;
135;Загоскин;Ах подруженьки как грустно;;1835;;из Аскольдовой могилы (опера);1835;collection;Х4жмд;unreg;unrhymed;core;;;;;;;;;
136;Загоскин;Уж как веет, веет ветерок;;1835;;из Аскольдовой могилы (опера);1835;collection;Х5,4,3;unreg;unrhymed;core;;;;;;;;;
137;Зотов, В.Р.;Как пойду ль сидеть;Репертуар русского театра, 1841, Т.1., кн. 4.;1841;Русская песня;;1841;periodical;Пс;reg;occ;core;;;;;;;;;
138;Ибрагимов, Л.Н.;Ты душа ль моя красна девица;Ибрагимов, Л.Н. Стихотворения Льва Ибрагимова. Казань, 1841. С. 54-55 / БдЧ. 1839. Т.33. С. 14-15.;1839;Русские песни;;1839;periodical;Пс2;reg;unrhymed;core;;;;;;;;;
139;Ибрагимов, Л.Н.;Ах ты помнишь ли;Ибрагимов, Л.Н. Стихотворения Льва Ибрагимова. Казань, 1841. С. 56-57;1841;Русские песни;;1841;collection;Пс;reg;unrhymed;core;;;;;;;;;
140;Ибрагимов, Л.Н.;Для меня ли, звезда ясная;Ибрагимов, Л.Н. Стихотворения Льва Ибрагимова. Казань, 1841. С. 51-53;1841;Русские песни;;1841;collection;Х4дм;reg;rhymed;periph;;;;;;;;;
141;Ибрагимов, Н.М.;Вечерком красна девица;Труды общества любителей отечественной словесности при Казанском университете. Казань, 1815. Ч.1, № 3.;1815;Русская песня (подражание польской);;1815;periodical;Х4жм + Х34м (рефрен);reg;rhymed;core;;;;;;;;;
142;Ибрагимов, Н.М.;Во поле березанька стояла;Благонамеренный, 1825. № 19. С. 203-204;1825;Русская песня;;1825;periodical;Х5ж;unreg;rhymed;core;;;;;;;;;
143;Протопопов, А.П.;Ах ты, батюшка, наш кабачек;Литературный кабинет. М., 1842 Ч. 2. С. 68;1842;Волжская песня;псевд. Н. Ивалс, анагр. Славин;1842;periodical;Пс2;unreg;occ;core;;;;;;;;;
144;Иванов, В.;Не горюй, девица красная;Лит.прибав. Рус. Инвалид. 1834, № 102 дек. 22, С. 310;1834;Русская песня;;1834;periodical;Х4д + Ан2м;reg;rhymed;core;;;;;;;;;
145;Иванов,И.;Друг мой милый что ты не весел;Зимцерла. М., 1829. С. 94 (цен.разр. Марта 8);1829;Русская песня;;1829;periodical;Х4д;reg;unrhymed;core;;;;;;;;;
146;Иноземцев, П.И.;Не березонька с гибким явором соплеталась;Утреняя звезда. М. 1834, кн. 1. С. 159-160;1834;Русская песня;;1834;periodical;Пс2 + Ан1ж;reg (14 сложник?);rhymed;core;;;;;;;;;
147;К. Ев..ь??;Ты взлети мой сокол ясный;Московский наблюдатель. 1837. Ч.12. № 5;1837;Ожидание (подражание В. Гюго);;1837;periodical;Х4жм;reg;rhymed;periph;;;;;;;;;
148;Карлгоф, В.И.;Ты кольцо мое кольцо;Славянин. 1827. Ч. 2. № 21. С. 303;1827;Песня;;1827;periodical;Х43мж;reg;rhymed;periph;;;;;;;;;
149;Катков, М.Н.;У ворот сидела я;Моск. Наблюдатель, 1839, ч. 20. С. 2426 (стихотворнения);1839;Девушка за пряжею (из Релантса);посв. Боткину;1839;periodical;Х4мж;reg;rhymed;periph;;;;;;;;;
150;Кашаев, В.;Мне по сердцу та лишь песенка;Стихотворения / [Соч.] Виктора Кашаева. - Москва : тип. В. Кирилова, 1837. - 43 с. 22.;1837;Русская мелодия;;1837;collection;Х4д;reg;rhymed;core;;;;;;;;;
151;Киселева;Мрачно в поле, ветер воет;БдЧ, 1837, т. 23, с 155-156;1837;Грусть невесты;;1837;periodical;Х43жм;reg;rhymed;periph;;;;;;;;;
152;Козлов, И.И.;Солнце красное о прекрасное;Литературные прибавления к Русскому Инвалиду. Спб., 1838, № 20, 14 мая. С. 385;1838;Песня;;1839;periodical;Пс2;reg;rhymed;core;;;;;;;;;
153;Козлов, И.И.;Море синее море буйное;Утренняя заря. СПб, 1839;1835;Тревожное раздумье;;1839;periodical;Х4жм + Пс2;unreg(Пс2 вставки);rhymed;periph;;;;;;;;;
154;Козлов, И.И.;Как вечор млада молодешенька;Енисейский альманах. М. (Красноярск), 1828 г.;1828;Кольцо;;1828;periodical;Пс;reg;unrhymed;core;;;;;;;;;
155;Колоколов, Михаил?;Тучи черные, бродя по небу;Литературная газета 1847. № 28, 19 июля. С. 445;1847;Песня;вот стихотворение г. Михаила К. приславшего три песни, писанные русским размером, которым, как известно, писать гораздо удобнее;1847;periodical;Пс2;unreg(перебои);unrhymed;core;;;;;;;;;
156;Колоколов, Михаил?;Вянет травка осенью;Литературная газета 1848. № 41, 14 октября. С. 645;1848;Песня;мы получили на днях письмо из Тулы следующего содержания: М.Г. Посылаю при сем нигде еще непечатанные два стихотворение милого нашего поэта Кольцова. Я уверен, что Редакция Литературной газеты, как представительница всего изящного, не откажется поместть их в своем издании.;1848;periodical;Х3д + Ан1ж;reg;rhymed;core;;;;;;;;;
157;Колоколов, Михаил?;Пламенея горя;Литературная газета 1848. № 41, 14 октября. С. 646;1848;Песня;;1848;periodical;Ан2м + Пс;unreg;rhymed;core;;;;;;;;;
158;Колоколов, Михаил?;Не спеши постой гостья милая;Литературная газета 1848. № 52, 30 декабря. С. 760;1848;Русская песня;;1848;periodical;Пс;reg;unrhymed;core;;;;;;;;;
159;Кольцов;Если встречусь с тобой;Московский наблюдатель, 1839, № 3, с. 6. (Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 46-47);1827;Песня;;1839;periodical;Ан2м;reg;unrhymed;core;melody;Дерфельдт, А.А.;1851;Если встречусь с тобой. Сл. А. Кольцова. Посвящен Емануилу Александровичу Захарьину. Спб., Габлер, 1851. 3 с.ВМОМК им. М.И. Глинки;Для голоса с фортепиано;;;;
160;Кольцов;Теперь ясней;Кольцов, А.В. Стихотворения 1846. (Кольцов, А.В. Полное собрание стихотворений. Л., 1958. C. 50-51);1828;Размолвка;;1846;collection;Я2м;reg;unrhymed;periph;;;;;;;;;
161;Кольцов;Ничто ничто на свете;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. C. 56-57 (впервые в: издание 1936 г.);1829;;;1936;collection;Я3жм;reg;unrhymed;periph;;;;;;;;;
162;Кольцов;Красавицы девушки;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 73-75 (впервые: ОЗ, 1867, № 2, с. 820);1829;;;1867;periodical;Х2, Х3д;unreg;unrhymed;periph;;;;;;;;;
163;Кольцов;Что груди тяжельше;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. C. 59 (впервые: ОЗ, 1867, № 2, с. 817);1829;;;1867;periodical;Аф2жм;reg;unrhymed;periph;;;;;;;;;
164;Кольцов;Увижу ль я девушку;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 62-63 (впервые: ОЗ, 1867, № 2, с. 821);1829;Песня;;1867;periodical;Аф2д;reg;unrhymed;periph;;;;;;;;;
165;Кольцов;Скучно с жизнью старческой;(Кольцов. Стихотворения 1835) Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 82;1830;;;1835;collection;Х3д;reg;unrhymed;periph;;;;;;;;;
166;Кольцов;Я затеплю свечу;Литературная газета, 1831, № 34, с. 277. (Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 88-89);1830;;;1831;periodical;Ан2м + Ан1д;reg;unrhymed;core;;;;;;;;;
167;Кольцов;Оседлаю коня;Молва, 1835, № 11, с. 170. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 90-91;1830;;;1835;periodical;Ан2м + Ан1д;reg;unrhymed;core;;;;;;;;;
168;Кольцов;Ну тащися сивка;Молва, 1835, № 11, с. 171. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.95-96;1831;Песня пахаря;;1835;periodical;Х3ж;unreg;unrhymed;periph;;;;;;;;;
169;Кольцов;Мне ли молодцу;Кольцов. М., 1835. (Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 103-105);1833;;;1835;collection;Пс;reg;unrhymed;core;;;;;;;;;
170;Кольцов;Не шуми ты рожь;Кольцов. Стихотврения, М., 1835. (Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 106);1834;;;1835;collection;Пс;reg;unrhymed;core;melody;Толстой, Ф.М.;1836;Не шуми ты рожь. Песня. Сл. А. В. Кольцова. М., Грессер и Миллер, 1836. 5 с. РНБ;Для голоса с фортепиано;Песня;;;
171;Кольцов;Не возьму я в толк;Телескоп, 1835, № 3, с. 295. (Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.114-117);1836;Косарь;;1835;periodical;Пс;reg;unrhymed;periph;;;;;;;;;
172;Кольцов;Высоко стоит;Кольцов-1846. (Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 112-114);1836;Молодая жница;;1846;collection;Пс;reg;unrhymed;core;melody;Толстой, Ф.М.;1837;Жница на поле: Высоко стоит солнце. Сл. А. Кольцова. М., 1837. 7 с. РНБ.;Для голоса с фортепиано;Жница на поле;;;
173;Кольцов;Весною степь зеленая;Литературные прибавления к “Русскому Инвалиду”, 1838, № 22. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 133-134;1837;;;1838;periodical;Я3д;reg;unrhymed;periph;;;;;;;;;
174;Кольцов;Что дремучий лес;СО, 1838, № 3, с. 17. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.135-137;1837;;;1838;periodical;Пс;reg;unrhymed;periph;;;;;;;;;
175;Кольцов;В золотое время;Утренняя звезда. Спб., 1839.( Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.139-140);1837;;;1839;periodical;Х3ж;reg;occ;periph;;;;;;;;;
176;Кольцов;С радости-веселья;Утренняя звезда. Спб., 1839. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 137-138;1837;;;1839;periodical;Х3ж;unreg;rhymed;periph;;;;;;;;;
177;Кольцов;Сяду я за стол;Московский наблюдатель, 1838, № 4, кн. 2. С. 565. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 124-125;1837;Раздумье селянина;;1838;periodical;Пс;reg;unrhymed;core;;;;;;;;;
178;Кольцов;Так ты моя красавица;Литературные прибавления к “Русскому Инвалиду”, 1838, № 25, с. 486. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 127-129;1837;;;1838;periodical;Я1д;reg;unrhymed;core;;;;;;;;;
179;Кольцов;Не страшна мне добру молодцу;ОЗ, 1840, № 8, с. 147. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 151-152;1838;Стенька Разин;;1840;periodical;Х4д;unreg;unrhymed;core;;;;;;;;;
180;Кольцов;Жарко в небе солнце летнее;МН, 1838, № 3, кн. 2, с. 204. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 141-142;1838;Измена суженой (русская песня);;1838;periodical;Х4д;reg;unrhymed;core;;;;;;;;;
181;Кольцов;Ах зачем меня;МН, 1838, № 5, кн. 2. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 143-144;1838;Русская песня;;1838;periodical;Пс;reg;unrhymed;core;;;;;;;;;
182;Кольцов;Обойми, поцелуй;ОЗ, 1839, № 3, с. 275. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 144-145;1838;Последний поцелуй;;1839;periodical;Ан2м;reg;occ;periph;melody;Девитте, Н.П,;1839;Последний поцелуй: обойми, поцелуй. Сл. А. Кольцова. М., Грессер, [1839]. 7 с. ВМОМК им. М. И. Глинки.;[Для голоса с фортепиано];Последний поцелуй;+ Романус, И.В. Последний поцелуй: Обойми, поцелуй. Сл. А. Кольцова. СПб., Клевер, [184?]7 с. Романсы и песни с аккомпанементом фортепиано сочинения И. Романуса. № 19. РНБ;;
183;Кольцов;Ах ты горе горе;Русская Старина, 1916, № 1, с. 86. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 157-158;1839;Горе;;1916;periodical;Пс;unreg;unrhymed;core;;;;;;;;;
184;Кольцов;Загрустила запечалилась;ОЗ, 1841, № 2, с. 272Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.159-160;1839;Тоска по воле;;1841;periodical;Х4д;reg;unrhymed;core;;;;;;;;;
185;Кольцов;Что ты спишь мужичок;ОЗ, 1841, № 1, с. 155. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.165-167;1839;;;1841;periodical;Ан2м;reg;occ;periph;;;;;;;;;
186;Кольцов;Говорил мне друг прощаючись;ОЗ, 1840, № 4, с. 212. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 167-168;1839;Русская песня;;1840;periodical;Х4д;reg;unrhymed;core;;;;;;;;;
187;Кольцов;Греет солнышко;ОЗ, 1840, № 6, с. 133. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.172-173;1840;Русская песня;;1840;periodical;Х2д + Я1д;reg;unrhymed;core;;;;;;;;;
188;Кольцов;Не скажу никому;Утренняя звезда. Спб., 1841. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.173;1840;Русская песня;;1841;periodical;Ан2м;reg;unrhymed;core;melody;Бернард, М.И.;1871;Не скажу никому. Романс. Сл. А. Кольцова. Спб., Бернард, 1871.;Для голоса с фортепиано;Романс;;;
189;Кольцов;На заре туманной юности;ОЗ, 1840, № 12, с. 224. Кольцов, А.В. Полное собрание стихотворений. Л., 1958.  С. 176;1840;Разлука;;1840;periodical;Х4д;reg;unrhymed;periph;;;;;;;;;
190;Кольцов;Не на радость не на счастие;ОЗ, 1841, № 6, с. 133. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.176-177;1840;Русская песня;;1841;periodical;Х4д;reg;unrhymed;core;melody;Верстовский, А.Н.;1840;Русская песня: не на радость, не на счастье. Сл. Кольцова. Рукопись // Полное собрание музыки сочинения А.Н. Верстовского. Т. 30. Л. 127-127. ОР МГК.;Для голоса с фортепиано;Русская песня;+ Дерфельдт 1861, см. Долгушина (Дерфельдт, 70. С. 267);;
191;Кольцов;До чего ты моя молодость;ОЗ, 1840, № 10, с. 313. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.177-178;1840;Перепутье;;1840;periodical;Х4д;reg;unrhymed;periph;;;;;;;;;
192;Кольцов;Дуют ветры;ОЗ, 1840, № 11, с. 47. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 178-179;1840;Русская песня;;1840;periodical;Х2жд;reg;unrhymed;core;;;;;;;;;
193;Кольцов;Затрубили трубы бранные;Утренняя звезда. Спб., 1842, с. 63. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.179-180;1840;Военная песня;посв. Вяземскому;1842;periodical;Х4д;unreg;unrhymed;periph;melody;Толстой, Ф.М.;1842;Военная песнь: затрубили трубы бранные. Сл. А. Кольцова // Альбом для пения и фортепиано. Музыка Ф. Толстого. Ея императорскому величеству великой княжне Александре Николаевне. М., Миллер и Гротриан, 1842. № 1. С. 3-9. РНБ;Для голоса с фортепиано;Военная песнь;;;
194;Кольцов;Как женился я раскаялся;Кольцов-1846. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.180-181;1840;Всякому свой талан;;1846;collection;Х4д;reg;unrhymed;core;;;;;;;;;
195;Кольцов;Где вы дни мои;ОЗ, 1841, № 4, с. 259. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 181-182;1840;Русская песня;;1841;periodical;Пс;reg;unrhymed;core;;;;;;;;;
196;Кольцов;Ты прости прощай;Кольцов-1846. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.191;1841;Русская песня;;1846;collection;Пс;reg;unrhymed;core;;;;;;;;;
197;Кольцов;Не весна тогда;ОЗ, 1842, № 1, с. 124. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.191-192;1841;Русская песня;;1842;periodical;Пс;reg;unrhymed;core;;;;;;;;;
198;Кольцов;Расступитесь леса темные;ОЗ, 1843, № 1, с. 71. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 192-193;1841;Русская песня;;1843;periodical;Х4д;unreg;unrhymed;core;;;;;;;;;
199;Кольцов;Как здоров да молод;ОЗ, 1843, № 1, с. 69. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 193-194;1841;Сельская песня;;1843;periodical;Х3ж;reg;unrhymed;periph;;;;;;;;;
200;Кольцов;Из лесов дремучих северных;Кольцов-1846. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.195;1841;Русская песня;;1846;collection;Х4д;reg;unrhymed;core;;;;;;;;;
201;Кольцов;Ночка темная;Русская старина, 1916, № 1, с. 86. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 201-202;1842;;;1916;periodical;Пс;reg;unrhymed;core;;;;;;;;;
202;Кольцов;Так и рвется душа;ОЗ, 1840, № 12, с. 266. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 175;1840;Русская песня;;1840;periodical;Ан2м;reg;rhymed;core;melody;Девитте, Н.П,;1846;Так и рвется душа. Песеяю М. В муз.маг. Грессера, б.г.. Песни и романсы Николая де Витте. № 2. Не найдена. Сведения об издании: Проспект серии; Catalogue general du magazine de musique et cabinet de lecture de A. Gabler. St.-Pet., 1846. РГБ;Для голоса с фортепиано;Песня;;;
203;Кольцов;Много есть у меня;ОЗ, 1841, № 3, с. 45. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 183;1840;Русская песня;;1841;periodical;Ан2м;reg;rhymed;core;;;;;;;;;
204;Кольцов;Я любила его;ОЗ, 1843, № 2, с. 300. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 197-198;1841;Русская песня;;1843;periodical;Ан2м;reg;rhymed;core;;;;;;;;;
205;Кольцов;Что он ходит за мной;Кольцов-1846. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 199-200;1842;Песня;;1846;collection;Ан2м;reg;rhymed;periph;;;;;;;;;
206;Кольцов;Нынче ночью к себе;Кольцов-1846. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 200-201;1842;Песня;;1846;collection;Ан2м;reg;rhymed;periph;;;;;;;;;
207;Комиссаров, Д.;Ах! Рано затмилося;Северные семена на 1831 год. М., 1831. С. 25-27;1831;Несчастливец;;1831;periodical;Аф2д;unreg (перебои);unrhymed;core;;;;;;;;;
208;Комиссаров, Д.;Разговор я слышал девичий;Северные семена на 1831 год. М., 1831. С. 49-50;1831;Грусть поселянки;;1831;periodical;Х4д;unreg (перебои);unrhymed;core;;;;;;;;;
209;Комиссаров, Д.;Ах не долго мне утешаться;Северные семена на 1831 год. М., 1831. С. 95-96;1831;Прощание с отчизной;;1831;periodical;Пс;unreg (перебои);unrhymed;core;;;;;;;;;
210;Кони, Ф.А.;Не жемчуг дорогой на цветочке блестит;Сборник на 1838 год…СПб., 1838;1831;;;1838;periodical;Ан4м + Ан1ж;reg;rhymed;core;;;;;;;;;
211;Кони, Ф.А.;Рано цветик рано ты;Отд. Издание с нотами Рупина. Спб,, 1833. (Водевиль деловой человек, или дело в шляпе) (1840);1833;;;1840;collection;Х43мж;reg;rhymed;core;;;;;;;;;
212;Коптев;Друг мой милой красно солнышко мое;Стихотворения…СПб., 1834. С. 58-60 + Моск. курьер. - 1806. - Ч.4, № 43. - С.267-269.;1806;Сельская элегия;;1806;periodical;Х6м;reg;unrhymed;core;;;;;;;;;
213;Красов, В.И.;Уж я с вечера сидела;ОЗ, 1840, № 6, т. 10. Отд. 3. С. 290. Поэты кружка Станкевича. М.-Л. 1936. С. 246;1840;Песня;;1840;periodical;Х4ж + Пс;unreg(переменная анакруса, дактилич клаузула);rhymed;core;;;;;;;;;
214;Красов, В.И.;Ах ты мать моя змея мачеха;ОЗ, 1841, № 9, с. 58-59. Поэты кружка Станкевича. М.-Л. 1936. С. 249-250;1840;Русская песня;;1841;periodical;Пс2;reg;unrhymed;core;;;;;;;;;
215;Красов, В.И.;Уж как в ту ли ночь;Москвитянин, 1841, № 9, с. 11-12. Поэты кружка Станкевича. М.-Л. 1936. С. 256-257;1841;Песня;;1841;periodical;Пс;reg;unrhymed;core;;;;;;;;;
216;Красов, В.И.;Со кручинушки шатаясь;(ОЗ, 1841, № 12) Поэты кружка Станкевича. М.-Л. 1936. С. 262;1841;Старинная песня;;1841;periodical;Х4жм;reg;rhymed;core;;;;;;;;;
217;Креницын, А.Н.;Милый друг! Нежный друг!;Невский альманах на 1830 г. СПб., 1830. С. 482-483;1830;Русская пенся;;1830;periodical;Ан2м;reg;rhymed;core;;;;;;;;;
218;Кропоткин, Д. Князь;На сторонушку родную;БдЧ, 1837, т. 23, С. 147-148;1837;Сокол;;1837;periodical;Х4жм;reg;rhymed;core;;;;;;;;;
219;Кугушев, Н.М.;Не скорби, о сердце нежное;ВЕ, 1823, № 3-4, с. 263-265;1823;Сельские песни;;1823;periodical;Х4д;reg;unrhymed;periph;;;;;;;;;
220;Кугушев, Н.М.;Нет, мои подружки резвые;ВЕ, 1823, № 3-4, с. 268-269;1823;Сельские песни;;1823;periodical;Х4д;reg;unrhymed;periph;;;;;;;;;
221;Кудрявцев, П.Н.???;Соберитесь девы красны;Молва, 1832, № 49, 17 июня;1832;Русская песня;;1832;periodical;Х4жм;reg;rhymed;core;;;;;;;;;
222;Кудряшев, П.М.;Как цветочек от засухи;Вестн. Европы. - 1822. - Май и июнь, N 9/10. - С.87.;1822;;На голос ты проходишь, дорогая, мимо кельи;1822;periodical;Х4ж + Х2ж;reg;rhymed;core;;;;;;;;;
223;Кудряшев, П.М.;О касаточка птичка ласточка;Славянин. 1828. Т. 7. № 28, С. 64.;1828;Песня;;1828;periodical;Пс;reg;rhymed;core;;;;;;;;;
224;Кудряшев, П.М.;Ах, подруженьки, ах, голубушки;ВЕ, 1823, № 19, с. 165;1823;Песни;;1823;periodical;Пс2;reg;unrhymed;core;;;;;;;;;
225;Кудряшев, П.М.;Не вчера ли в хороводе;ВЕ, 1823, № 19, с. 165-166;1823;Песни;;1823;periodical;Х4жм;reg;rhymed;core;melody;Толстой, Ф.М.;1834;Не вчера ли в хороводе // Неделя свободы...Соч. Ф. Толстого. Спб., Бернард, 1834. № 4. ВМОМК им. М.И. Глинки;Для голоса с фортепиано;;;;
226;Кукольник, Н.В.;Ходит ветер у ворот;Князь Холмский // Соч. Нестора Кукольника, драматические. Т.2. С. 416;1840;;;1840;collection;Х4м;reg;rhymed;core;;;;;;;;;
227;Кукольник, Н.В.;Как взгляну да погляжу;Иван Рябов // Соч. Нестора Кукольника, драматические. Т.2. С. 534;1840;;;1840;collection;Х43мж;reg;rhymed;core;;;;;;;;;
228;Л. Вл.;То не лебедь плывет;Славянин. 1827. Ч. 4. № 41. С. 61-62;1827;Песня, УД;см. Смирнова, Ф.;1827;periodical;Пс;unreg;unrhymed;core;;;;;;;;;
229;Лажечников, И.;Сладко пел душа соловушко;;1831;;;1831;collection;Х4дм;reg;rhymed;core;;;;;;;;;
230;Лардем;Все бы все бы подле милой я сидел;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 127-128;1826;Русская песня;На голос: Скучно, матушка, весною жить одной (Измайлов ??);1826;periodical;Х6м;reg;rhymed;core;;;;;;;;;
231;Лесник;Эх не вовремя тучи мрачные;СО, 1839.  т. 9. Стихотворения. С. 10;1839;Две русские песни;;1839;periodical;Пс2;reg;occ;core;;;;;;;;;
